dma_code,dma_name,geo_code,nielsen_name,n_counties,total_pop,pct_hisp,pct_white_nh,pct_black_nh,pct_asian_nh
567,Greenville-Spartanburg SC-Asheville NC-Anderson SC,US-SC-567,GREENVILLE-SPARTANBURG-ASHEVILLE,28,2519222,8.87,73.68,13.03,1.79
569,Harrisonburg VA,US-VA-569,HARRISONBURG,6,273263,10.64,79.15,6.03,1.79
570,Myrtle Beach-Florence SC,US-SC-570,MYRTLE BEACH-FLORENCE,8,847830,6.79,57.96,25.26,1.28
571,Ft. Myers-Naples FL,US-FL-571,FORT MYERS-NAPLES,6,1585320,26.41,62.49,7.74,1.74
573,Roanoke-Lynchburg VA,US-VA-573,ROANOKE-LYNCHBURG,36,1144966,4.71,76.11,14.64,2.04
574,Johnstown-Altoona PA,US-PA-574,JOHNSTOWN-ALTOONA,10,729289,2.49,90.86,2.99,2.07
575,Chattanooga TN,US-TN-575,CHATTANOOGA,16,1032118,10.43,76.98,8.71,1.58
576,Salisbury MD,US-MD-576,SALISBURY,5,490179,9.47,68.7,17.24,1.82
577,Wilkes Barre-Scranton PA,US-PA-577,WILKES BARRE-SCRANTON,17,1512984,10.91,81.07,4.7,1.53
581,Terre Haute IN,US-IN-581,TERRE HAUTE,14,369153,3.1,89.9,3.81,1.07
582,Lafayette IN,US-IN-582,"LAFAYETTE, IN",3,208954,10.24,72.8,5.93,8.45
583,Alpena MI,US-MI-583,ALPENA,2,39527,1.89,94.45,0.77,0.52
584,Charlottesville VA,US-VA-584,CHARLOTTESVILLE,6,265808,7.33,73.75,11.15,4.55
588,South Bend-Elkhart IN,US-IN-588,SOUTH BEND-ELKHART,10,909576,11.69,75.67,8.01,1.84
592,Gainesville FL,US-FL-592,GAINESVILLE,4,377394,12.37,62.71,16.59,5.43
596,Zanesville OH,US-OH-596,ZANESVILLE,1,86582,1.43,90.62,3.8,0.55
597,Parkersburg WV,US-WV-597,PARKERSBURG,3,148447,1.49,94.16,1.36,0.76
598,Clarksburg-Weston WV,US-WV-598,CLARKSBURG-WESTON,12,256666,1.78,93.44,2.22,0.61
600,Corpus Christi TX,US-TX-600,CORPUS CHRISTI,12,590685,62.74,30.36,3.48,1.94
602,Chicago IL,US-IL-602,CHICAGO,16,9734724,24.22,50.21,15.78,7.88
603,Joplin MO-Pittsburg KS,US-MO-603,JOPLIN-PITTSBURG,14,405599,7.74,81.74,1.75,1.18
604,Columbia-Jefferson City MO,US-MO-604,COLUMBIA-JEFFERSON CITY,14,494811,3.72,83.12,7.21,2.76
605,Topeka KS,US-KS-605,TOPEKA,17,465058,11.8,76.17,5.58,1.99
606,Dothan AL,US-AL-606,DOTHAN,6,271635,6.46,66.39,22.6,1.24
609,St. Louis MO,US-MO-609,SAINT LOUIS,31,3190887,3.99,74.32,16.21,3.02
610,Rockford IL,US-IL-610,ROCKFORD,5,465080,15.84,68.91,10.25,2.29
611,Rochester MN-Mason City IA-Austin MN,US-MN-611,ROCHESTER-MASON CITY-AUSTIN,12,386181,7.02,81.31,4.65,4.44
612,Shreveport LA,US-LA-612,SHREVEPORT,25,961656,9.1,56.02,30.1,1.18
613,Minneapolis-St. Paul MN,US-MN-613,MINNEAPOLIS-SAINT PAUL,57,4962583,6.74,74.99,8.61,6.13
616,Kansas City MO,US-MO-616,KANSAS CITY,33,2669410,10.7,71.82,10.78,3.15
617,Milwaukee WI,US-WI-617,MILWAUKEE,10,2341097,12.51,68.5,12.46,3.97
618,Houston TX,US-TX-618,HOUSTON,20,8155036,38.68,33.21,17.67,8.5
619,Springfield MO,US-MO-619,"SPRINGFIELD, MO",31,1143661,5.15,87.99,2.11,1.37
622,New Orleans LA,US-LA-622,NEW ORLEANS,14,1733486,10.91,54.38,29.62,2.47
623,Dallas-Ft. Worth TX,US-TX-623,DALLAS-FORT WORTH,32,9081219,29.3,43.46,16.1,8.62
624,Sioux City IA,US-IA-624,SIOUX CITY,23,419752,14.63,76.38,2.83,1.99
625,Waco-Temple-Bryan TX,US-TX-625,WACO-TEMPLE-BRYAN,14,1174433,26.62,50.9,15.92,3.12
626,Victoria TX,US-TX-626,VICTORIA,1,91949,49.11,42.37,5.64,1.3
627,Wichita Falls TX & Lawton OK,US-TX-627,WICHITA FALLS-LAWTON,16,418293,17.66,64.38,8.98,1.83
628,Monroe LA-El Dorado AR,US-LA-628,MONROE-EL DORADO,18,451720,4.24,58.07,35.07,0.81
630,Birmingham AL,US-AL-630,BIRMINGHAM,21,1987882,5.76,64.64,26.23,1.47
631,Ottumwa IA-Kirksville MO,US-IA-631,OTTUMWA-KIRKSVILLE,10,127765,7.03,84.56,2.95,2.42
632,Paducah KY-Cape Girardeau MO-Harrisburg IL,US-KY-632,PADUCAH-CAPE GIRARDEAU-HARRISBURG,43,932344,3.62,85.27,7.34,1.16
633,Odessa-Midland TX,US-TX-633,ODESSA-MIDLAND,18,483383,57.7,33.89,4.96,1.68
634,Amarillo TX,US-TX-634,AMARILLO,34,545244,39.58,50.54,5.26,2.19
635,Austin TX,US-TX-635,AUSTIN,12,2718965,32.05,49.66,7.31,8.4
636,Harlingen-Weslaco-Brownsville-McAllen TX,US-TX-636,HARLINGEN-WESLACO-BROWNSVILLE,4,1433308,91.3,6.73,0.69,0.96
637,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,US-IA-637,CEDAR RAPIDS-WATERLOO-DUBUQUE,21,926165,4.83,84.19,5.55,2.57
638,St. Joseph MO,US-MO-638,SAINT JOSEPH,4,119124,7.06,83.25,4.73,1.22
639,Jackson TN,US-TN-639,"JACKSON, TN",6,254614,4.35,71.0,21.44,0.82
640,Memphis TN,US-TN-640,MEMPHIS,28,1792473,7.03,45.59,43.33,2.15
641,San Antonio TX,US-TX-641,SAN ANTONIO,25,3083627,55.85,32.34,6.8,2.89
642,Lafayette LA,US-LA-642,"LAFAYETTE, LA",8,631294,5.57,63.79,26.97,1.56
643,Lake Charles LA,US-LA-643,LAKE CHARLES,4,270735,5.73,67.89,22.09,1.49
644,Alexandria LA,US-LA-644,"ALEXANDRIA, LA",4,232200,5.83,63.6,25.98,1.27
647,Greenwood-Greenville MS,US-MS-647,GREENWOOD-GREENVILLE,8,169264,2.74,31.87,63.64,0.66
648,Champaign & Springfield-Decatur IL,US-IL-648,CHAMPAIGN-SPRINGFIELD-DECATUR,20,930545,5.2,77.94,10.24,3.94
649,Evansville IN,US-IN-649,EVANSVILLE,21,738840,4.02,87.01,5.15,1.32
650,Oklahoma City OK,US-OK-650,OKLAHOMA CITY,34,2037878,15.13,63.0,8.47,3.02
651,Lubbock TX,US-TX-651,LUBBOCK,18,481655,42.75,47.43,6.08,1.93
652,Omaha NE,US-NE-652,OMAHA,24,1215377,13.58,73.55,6.77,3.18
656,Panama City FL,US-FL-656,PANAMA CITY,9,435831,8.62,74.38,11.83,1.61
657,Sherman TX-Ada OK,US-TX-657,SHERMAN-ADA,11,370133,12.45,67.45,4.56,1.26
658,Green Bay-Appleton WI,US-WI-658,GREEN BAY-APPLETON,16,1179888,6.57,84.97,2.03,2.8
659,Nashville TN,US-TN-659,NASHVILLE,49,3251493,9.66,72.22,12.68,2.66
